year,scenario,scenario_label,company,reachable_pop,effective_covered_pop,trip_intensity_per_capita,annual_ride_miles_demand,fleet_demand,fleet_supply_cap,fleet_operating,gross_passenger_revenue,net_platform_revenue,revenue_miles_per_vehicle_day,readiness_friction
2026,slow,"Slow adoption — regulatory drag, setbacks",waymo,14300000.000000002,7865000.000000002,21.505,676547300.0000001,8521.76597207563,24820.71428571429,8521.76597207563,1285439870.0000005,449903954.5000001,217.50823158593224,0.3775406687981454
2026,slow,"Slow adoption — regulatory drag, setbacks",tesla,18687500.0,14576250.0,21.505,1253849025.0,19588.76231117979,59466.29464285714,19588.76231117979,1379233927.5,386185499.70000005,175.36599575046264,0.8581489350995123
2027,slow,"Slow adoption — regulatory drag, setbacks",waymo,45760000.00000001,25168000.000000007,23.2254,2338147468.8000007,29451.22319949338,158852.57142857145,29451.22319949338,4442480190.720001,1554868066.7520003,217.50823158593224,0.3775406687981454
2027,slow,"Slow adoption — regulatory drag, setbacks",tesla,59799999.99999999,46643999.99999999,23.2254,4333302230.4,67698.76254743735,380584.28571428574,67698.76254743735,4766632453.439999,1334657086.9631999,175.36599575046264,0.8581489350995123
2028,slow,"Slow adoption — regulatory drag, setbacks",waymo,102960000.00000001,56628000.000000015,24.9458,5650523049.600001,71173.78939877565,536127.4285714285,71173.78939877565,10735993794.240002,3757597827.984,217.50823158593224,0.3775406687981454
2028,slow,"Slow adoption — regulatory drag, setbacks",tesla,134550000.0,104949000.0,24.9458,10472147056.8,163605.3428229736,1284471.9642857143,163605.3428229736,11519361762.48,3225421293.4944,175.36599575046264,0.8581489350995123
2029,slow,"Slow adoption — regulatory drag, setbacks",waymo,131560000.00000001,72358000.00000001,26.666199999999996,7718051598.400001,97216.30620943877,913402.2857142858,97216.30620943877,14664298036.960001,5132504312.936,217.50823158593224,0.3775406687981454
2029,slow,"Slow adoption — regulatory drag, setbacks",tesla,171925000.0,134101500.0,26.666199999999996,14303909677.199999,223468.60044593902,2188359.642857143,223468.60044593902,15734300644.919998,4405604180.5776,175.36599575046264,0.8581489350995123
2030,slow,"Slow adoption — regulatory drag, setbacks",waymo,160160000.00000003,88088000.00000003,28.386599999999994,10002075283.2,125985.78813116609,1389960.0000000002,125985.78813116609,19003943038.080006,6651380063.328002,217.50823158593224,0.3775406687981454
2030,slow,"Slow adoption — regulatory drag, setbacks",tesla,209299999.99999997,163253999.99999997,28.386599999999994,18536903985.599995,289600.26200848195,3330112.4999999995,289600.26200848195,20390594384.159996,5709366427.564799,175.36599575046264,0.8581489350995123
